Running single-cycle Verilator trace demo
[SC-TRACE] pc=0x00000000 instr=0x00000093 rd=x1 wb=0x00000000 branch=0 target=0x00000004 z=1 n=0 ov=0
[SC-TRACE] pc=0x00000004 instr=0x00100113 rd=x2 wb=0x00000001 branch=0 target=0x00000008 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000008 instr=0x00900193 rd=x3 wb=0x00000009 branch=0 target=0x0000000c z=0 n=0 ov=0
[SC-TRACE] pc=0x0000000c instr=0x00000513 rd=x10 wb=0x00000000 branch=0 target=0x00000010 z=1 n=0 ov=0
[SC-TRACE] pc=0x00000010 instr=0x00350c63 rd=x24 wb=0xfffffff7 branch=0 target=0x00000014 z=0 n=1 ov=0
[SC-TRACE] pc=0x00000014 instr=0x002085b3 rd=x11 wb=0x00000001 branch=0 target=0x00000018 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000018 instr=0x00010093 rd=x1 wb=0x00000001 branch=0 target=0x0000001c z=0 n=0 ov=0
[SC-TRACE] pc=0x0000001c instr=0x00058113 rd=x2 wb=0x00000001 branch=0 target=0x00000020 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000020 instr=0x00150513 rd=x10 wb=0x00000001 branch=0 target=0x00000024 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000024 instr=0xfedff06f rd=x0 wb=0x00000028 branch=1 target=0x00000010 z=1 n=0 ov=0
[SC-TRACE] pc=0x00000010 instr=0x00350c63 rd=x24 wb=0xfffffff8 branch=0 target=0x00000014 z=0 n=1 ov=0
[SC-TRACE] pc=0x00000014 instr=0x002085b3 rd=x11 wb=0x00000002 branch=0 target=0x00000018 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000018 instr=0x00010093 rd=x1 wb=0x00000001 branch=0 target=0x0000001c z=0 n=0 ov=0
[SC-TRACE] pc=0x0000001c instr=0x00058113 rd=x2 wb=0x00000002 branch=0 target=0x00000020 z=0 n=0 ov=0
[SC-TRACE] pc=0x00000020 instr=0x00150513 rd=x10 wb=0x00000002 branch=0 target=0x00000024 z=0 n=0 ov=0
